iter	Passed	Remaining
0	47	47811
1	49	24662
2	50	16941
3	52	13007
4	54	10815
5	55	9232
6	56	8076
7	58	7217
8	59	6559
9	60	6004
10	61	5554
11	62	5177
12	63	4855
13	65	4593
14	66	4375
15	67	4170
16	68	3983
17	70	3829
18	71	3693
19	72	3575
20	74	3469
21	75	3367
22	76	3270
23	78	3179
24	79	3104
25	80	3025
26	82	2955
27	83	2910
28	85	2853
29	88	2855
30	89	2798
31	92	2796
32	93	2747
33	95	2714
34	96	2661
35	97	2611
36	98	2566
37	99	2519
38	100	2472
39	101	2424
40	101	2381
41	102	2338
42	103	2295
43	103	2254
44	104	2214
45	104	2175
46	105	2136
47	105	2100
48	106	2064
49	106	2031
50	107	1997
51	107	1965
52	108	1933
53	108	1903
54	109	1874
55	109	1846
56	109	1819
57	110	1792
58	110	1766
59	111	1741
60	111	1717
61	111	1693
62	112	1670
63	112	1647
64	113	1625
65	113	1604
66	113	1583
67	114	1563
68	114	1544
69	114	1525
70	115	1507
71	115	1489
72	116	1473
73	116	1456
74	116	1439
75	116	1422
76	117	1405
77	117	1389
78	117	1374
79	118	1359
80	118	1344
81	118	1330
82	119	1314
83	119	1301
84	119	1288
85	119	1275
86	120	1262
87	120	1249
88	120	1237
89	121	1225
90	121	1213
91	121	1202
92	122	1190
93	122	1179
94	122	1168
95	122	1157
96	123	1147
97	123	1136
98	123	1126
99	124	1116
100	124	1106
101	124	1097
102	124	1087
103	125	1078
104	125	1069
105	125	1060
106	126	1051
107	126	1042
108	126	1034
109	127	1028
110	127	1020
111	127	1011
112	127	1003
113	128	995
114	128	987
115	128	980
116	128	972
117	129	964
118	129	957
119	129	950
120	129	943
121	130	935
122	130	928
123	130	921
124	130	915
125	131	908
126	131	902
127	131	896
128	131	890
129	132	884
130	132	878
131	132	871
132	132	865
133	133	859
134	133	853
135	133	848
136	133	842
137	133	836
138	134	830
139	134	825
140	134	820
141	134	814
142	134	808
143	135	803
144	135	798
145	135	794
146	136	789
147	136	784
148	136	780
149	136	775
150	137	770
151	137	765
152	137	761
153	137	756
154	137	752
155	138	747
156	138	742
157	138	738
158	138	735
159	139	731
160	139	726
161	139	722
162	139	718
163	140	714
164	140	711
165	140	707
166	140	703
167	141	699
168	141	695
169	141	691
170	141	687
171	141	683
172	142	679
173	142	677
174	143	674
175	143	670
176	143	666
177	143	663
178	143	659
179	144	656
180	144	652
181	144	649
182	144	645
183	144	642
184	144	638
185	145	635
186	145	632
187	145	628
188	145	625
189	146	623
190	146	620
191	146	617
192	147	614
193	147	611
194	147	608
195	147	605
196	147	602
197	148	599
198	148	596
199	148	593
200	148	590
201	148	588
202	149	585
203	149	582
204	149	579
205	149	576
206	149	574
207	150	571
208	150	570
209	150	567
210	151	564
211	151	562
212	151	559
213	151	557
214	152	555
215	152	552
216	152	550
217	152	547
218	152	545
219	153	542
220	153	540
221	153	537
222	153	535
223	153	533
224	155	533
225	155	531
226	155	529
227	155	527
228	155	524
229	156	522
230	156	520
231	156	518
232	156	515
233	156	513
234	157	511
235	157	509
236	157	507
237	157	505
238	158	503
239	158	500
240	158	498
241	158	497
242	159	495
243	159	495
244	160	493
245	160	491
246	160	489
247	160	487
248	161	485
249	161	483
250	161	481
251	161	479
252	161	477
253	162	475
254	162	474
255	162	472
256	162	470
257	162	468
258	163	466
259	163	465
260	163	463
261	164	462
262	164	460
263	164	458
264	164	457
265	165	455
266	165	453
267	165	451
268	165	450
269	165	448
270	166	446
271	166	444
272	166	443
273	166	441
274	166	439
275	167	438
276	167	436
277	167	435
278	168	434
279	168	432
280	168	430
281	168	429
282	168	427
283	169	426
284	169	424
285	169	423
286	169	421
287	169	420
288	170	418
289	170	417
